scorer,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,objectA,objectA
coords,x,y,x,y,x,y,x,y
labeled-data\c_13817_392\img0009.png,518.7653127275671,386.05347520025896,,,675.360506513472,436.0769398818675,,
labeled-data\c_13817_392\img0361.png,287.5194274099301,345.3350025761212,457.3373396207448,437.66318785578744,307.30403854128707,500.3144564384181,,
labeled-data\c_13817_392\img0413.png,312.2501913241263,307.41449790768684,412.8219645751913,403.0401183759126,267.73481627857296,454.150363798585,,
labeled-data\c_13817_392\img0551.png,325.4399320783644,277.7375812106513,338.62967283260247,317.3068034733654,223.2194412330196,361.82217851891875,,
labeled-data\c_13817_392\img0614.png,264.4373810900135,332.1452618218832,506.7988674491374,322.25295625620464,338.62967283260247,437.66318785578744,,
labeled-data\c_13817_392\img0644.png,218.27328845018036,361.82217851891875,487.0142563177803,302.4683451248476,338.62967283260247,431.0683174786684,,
labeled-data\c_13817_392\img0708.png,279.27583943853125,264.54784045641327,506.7988674491374,243.11451173077648,317.19634410696557,363.4708961131985,,
labeled-data\c_13817_392\img0842.png,313.8989089184061,226.62733578797895,,,353.4681311811202,295.87347474772855,,
labeled-data\c_13817_392\img1031.png,149.02714949043065,333.7939794161629,289.16814500420975,403.0401183759126,145.72971430187118,478.8811277127813,,
labeled-data\c_13817_392\img1397.png,256.1937931186147,309.0632155019666,447.4450340550662,379.95807205599607,302.3578857584478,467.340104552823,,
labeled-data\c_13817_392\img1547.png,338.62967283260247,262.8991228621335,406.2270941980724,323.90167385048437,234.7604643929779,398.09396559307334,,
labeled-data\c_13817_392\img1649.png,336.9809552383227,243.11451173077648,496.9065618834588,267.84527564497273,304.0066033527276,333.7939794161629,,
labeled-data\c_13817_392\img1908.png,,,83.0784457192405,361.82217851891875,,,13.832306759490848,572.8580305867273
labeled-data\c_13817_392\img2015.png,,,119.3502327933951,411.28370634731135,,,,
labeled-data\c_13817_392\img2121.png,17.12974194805031,403.0401183759126,153.9733022732699,383.25550724455553,68.2399873707227,510.2067620040966,20.427177136609828,492.07086846701935
