STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,01-Nov-2019
Time,12:26
Box Index,1
ExptType,0
SessionRecord,16

Session Title,MiTg_inactivation
Protocol Title,grating orientation discrimination with punishment and distractors (bug fixed)
Protocol Description,nose-touch one of the two locations according to stimulus orientation (2AFC) + ignore distractor + punishment for wrong selection
Analysis Ref,CS-101
Dose Details,Index,0
Dose Table Item
n.a.
0
Unassigned
300
Subject Id,MiTg12
DB Ref,nbk_shaping07_MiTg_inactivation
DB Group,-1
Day Table,Image Discrimination Day Table
Duration,216000
Pellet Count,0
Fluid Count,118
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,1
SS Dummy,2
SensorTC
S(1),
188,
AutoControl,Index,2,
AC Comment,,T6 - 1T1D (70x70) VT/HZ = 1:1 (Tc-6, Dc-1)
01_corss,02_responsebox,03_mask_060,hz6_060,hz6_080,hz6_100,hz6_120,vt6_060,vt6_080,vt6_100,vt6_120,hz1_060,hz2_060,hz3_060,hz4_060,hz5_060,hz6_060,hz7_060,hz8_060,vt1_060,vt2_060,vt3_060,vt4_060,vt5_060,vt6_060,vt7_060,vt8_060,hz1_070,vt1_070,hz2_070,vt2_070,hz3_070,vt3_070,hz4_070,vt4_070,hz6_070,vt6_070,
Image Discrim Details
Trials,Banked,RptInc,RptMssd,CTLimited,CTLimit,All_Trials,C_Trials,I_Trials,M_Trials,Ex_Crcn_Trials
182,0,0,0,0,10001,0,0,0,0
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,
T2Freq,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,
T2Ampl,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
T2Burst,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
T2Period,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
T2Delay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
T2ToneCount,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,


Trials

,,,,Stage (4),Stage (4),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (9),Stage (9),Stage (10),Stage (11),Stage (12),Stage (12),
Trial,,Item,TT,,,,,Count :-,Count :-,Count :-,Count :-,Count :-,Count :-,Count :-,,,Reward,Reward,,,
Ref,Outcome,Index,Index,Entry,Exit,Entry,Exit,W(1),W(2),W(3),W(4),W(5),W(6),W(7),Entry,Exit,Count :-,Count :-,Entry,Exit,
0,0,3,0,1003,1339,1339,1380,0,2,0,1,0,0,0,0,0,0,1380,1480,0,1,1480,1483,
1,0,11,1,1486,2363,2363,2403,0,2,0,1,0,0,0,0,0,0,2403,2493,1,0,0,0,
2,0,5,2,2496,5985,5985,6024,0,2,0,1,0,0,0,0,0,0,6024,6112,1,0,0,0,
3,0,3,3,6115,8027,8027,8876,0,2,0,1,0,0,0,0,0,0,8876,8976,0,1,8976,8980,
4,0,11,4,8983,11042,11042,11674,0,6,0,1,0,0,0,0,0,0,11674,11774,0,1,11774,11803,
5,0,2,5,11806,13730,13730,13808,0,4,1,0,0,0,0,0,0,0,13808,13908,0,1,13908,13955,
6,0,3,6,13958,16450,16450,16553,0,4,0,1,0,0,0,0,0,0,16553,16653,0,1,16653,16660,
7,0,1,7,16663,18124,18124,18208,0,6,0,1,0,0,0,0,0,0,18208,18308,0,1,18308,18322,
8,0,9,8,18325,20000,20000,20061,0,4,0,1,0,0,0,0,0,0,20061,20161,0,1,20161,20172,
9,0,10,9,20175,21542,21542,21637,0,4,1,0,0,0,0,0,0,0,21637,21737,0,1,21737,21791,
10,1,3,10,21794,23279,23279,23350,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,0,1,11,23853,23941,23941,23962,0,2,0,1,0,0,0,0,0,0,23962,24062,0,1,24062,24064,
12,0,11,12,24067,25681,25681,25784,0,4,0,1,0,0,0,0,0,0,25784,25884,0,1,25884,25885,
13,0,12,13,25888,27477,27477,27542,0,0,1,0,0,0,0,0,0,0,27542,27642,0,1,27642,27643,
14,0,0,14,27646,29580,29580,29638,0,0,1,0,0,0,0,0,0,0,29638,29731,1,0,0,0,
15,0,7,15,29734,31417,31417,31605,0,4,0,1,0,0,0,0,0,0,31605,31697,1,0,0,0,
16,1,7,16,31700,33233,33233,33290,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,0,5,17,33793,33801,33801,33853,0,2,0,1,0,0,0,0,0,0,33853,33948,1,0,0,0,
18,0,4,18,33951,35529,35529,35583,0,0,1,0,0,0,0,0,0,0,35583,35683,0,1,35683,35686,
19,0,3,19,35689,37539,37539,37594,0,4,0,1,0,0,0,0,0,0,37594,37694,0,1,37694,37714,
20,0,2,20,37717,39236,39236,39436,0,2,1,0,0,0,0,0,0,0,39436,39536,0,1,39536,39569,
21,0,0,21,39572,41331,41331,41415,0,2,1,0,0,0,0,0,0,0,41415,41514,1,0,0,0,
22,0,13,22,41517,43201,43201,43324,0,2,0,1,0,0,0,0,0,0,43324,43418,1,0,0,0,
23,1,8,23,43421,45286,45286,45310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
24,0,12,24,45813,45813,45813,45899,0,0,1,0,0,0,0,0,0,0,45899,45999,0,1,45999,46068,
25,0,11,25,46071,47635,47635,47693,0,2,0,1,0,0,0,0,0,0,47693,47786,1,0,0,0,
26,0,11,26,47789,49381,49381,49481,0,0,0,1,0,0,0,0,0,0,49481,49581,0,1,49581,49582,
27,1,10,27,49585,50931,50931,51056,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,2,28,51559,51580,51580,51675,0,4,1,0,0,0,0,0,0,0,51675,51775,0,1,51775,51799,
29,0,1,29,51802,53437,53437,53518,0,0,0,1,0,0,0,0,0,0,53518,53616,1,0,0,0,
30,1,0,30,53619,55475,55475,55612,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
31,0,9,31,56115,56144,56144,56198,0,0,0,1,0,0,0,0,0,0,56198,56292,1,0,0,0,
32,0,2,32,56295,57665,57665,57756,0,6,1,0,0,0,0,0,0,0,57756,57856,0,1,57856,57903,
33,0,8,33,57906,59463,59463,59536,0,0,1,0,0,0,0,0,0,0,59536,59636,0,1,59636,59646,
34,0,8,34,59649,61384,61384,61464,0,0,1,0,0,0,0,0,0,0,61464,61557,1,0,0,0,
35,0,8,35,61560,63130,63130,63187,0,2,1,0,0,0,0,0,0,0,63187,63275,1,0,0,0,
36,0,0,36,63278,64996,64996,65120,0,6,1,0,0,0,0,0,0,0,65120,65220,0,1,65220,65245,
37,0,2,37,65248,66929,66929,67005,0,0,1,0,0,0,0,0,0,0,67005,67105,0,1,67105,67129,
38,0,5,38,67132,68847,68847,69009,0,4,0,1,0,0,0,0,0,0,69009,69109,0,1,69109,69110,
39,0,10,39,69113,70652,70652,70779,0,4,1,0,0,0,0,0,0,0,70779,70879,0,1,70879,70883,
40,0,8,40,70886,72445,72445,72483,0,0,1,0,0,0,0,0,0,0,72483,72582,1,0,0,0,
41,0,2,41,72585,74377,74377,74447,0,2,1,0,0,0,0,0,0,0,74447,74540,1,0,0,0,
42,0,2,42,74543,76269,76269,76326,0,0,1,0,0,0,0,0,0,0,76326,76426,0,1,76426,76434,
43,0,4,43,76437,78032,78032,78105,0,0,1,0,0,0,0,0,0,0,78105,78205,0,1,78205,78229,
44,0,11,44,78232,79869,79869,79947,0,2,0,1,0,0,0,0,0,0,79947,80047,0,1,80047,80048,
45,0,13,45,80051,81852,81852,81938,0,8,0,1,0,0,0,0,0,0,81938,82038,0,1,82038,82039,
46,0,4,46,82042,83570,83570,83732,0,2,1,0,0,0,0,0,0,0,83732,83832,0,1,83832,83851,
47,0,9,47,83854,85483,85483,85629,0,4,0,1,0,0,0,0,0,0,85629,85729,0,1,85729,85738,
48,0,4,48,85741,87477,87477,87568,0,0,1,0,0,0,0,0,0,0,87568,87668,0,1,87668,87693,
49,0,4,49,87696,89498,89498,89565,0,2,1,0,0,0,0,0,0,0,89565,89665,0,1,89665,89692,
50,1,13,50,89695,91389,91389,91475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,0,0,51,91978,92065,92065,92873,0,4,1,0,0,0,0,0,0,0,92873,92973,0,1,92973,92998,
52,0,11,52,93001,94397,94397,94504,0,4,0,1,0,0,0,0,0,0,94504,94602,1,0,0,0,
53,0,11,53,94605,96127,96127,96199,0,2,0,1,0,0,0,0,0,0,96199,96299,0,1,96299,96315,
54,0,8,54,96318,97887,97887,97935,0,0,1,0,0,0,0,0,0,0,97935,98035,1,0,0,0,
55,0,6,55,98038,99634,99634,99690,0,0,1,0,0,0,0,0,0,0,99690,99790,0,1,99790,99800,
56,0,4,56,99803,101507,101507,101535,0,0,1,0,0,0,0,0,0,0,101535,101635,0,1,101635,101706,
57,0,2,57,101709,103238,103238,103297,0,0,1,0,0,0,0,0,0,0,103297,103397,0,1,103397,103411,
58,0,0,58,103414,105111,105111,105138,0,0,1,0,0,0,0,0,0,0,105138,105238,0,1,105238,105274,
59,0,11,59,105277,107007,107007,107032,0,0,0,1,0,0,0,0,0,0,107032,107132,0,1,107132,107138,
60,0,12,60,107141,108561,108561,108605,0,0,1,0,0,0,0,0,0,0,108605,108702,1,0,0,0,
61,0,6,61,108705,110699,110699,110757,0,0,1,0,0,0,0,0,0,0,110757,110857,0,1,110857,110890,
62,0,13,62,110893,112493,112493,112642,0,4,0,1,0,0,0,0,0,0,112642,112742,0,1,112742,112765,
63,0,4,63,112768,114281,114281,114359,0,0,1,0,0,0,0,0,0,0,114359,114459,0,1,114459,114513,
64,0,1,64,114516,115880,115880,115969,0,6,0,1,0,0,0,0,0,0,115969,116069,0,1,116069,116070,
65,0,9,65,116073,117374,117374,117429,0,0,0,1,0,0,0,0,0,0,117429,117529,0,1,117529,117604,
66,0,4,66,117607,119185,119185,119310,0,0,1,0,0,0,0,0,0,0,119310,119410,0,1,119410,119439,
67,0,3,67,119442,120920,120920,121063,0,4,0,1,0,0,0,0,0,0,121063,121163,1,0,0,0,
68,0,9,68,121166,122572,122572,122621,0,0,0,1,0,0,0,0,0,0,122621,122721,1,0,0,0,
69,1,10,69,122724,124209,124209,124409,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
70,0,4,70,124912,125125,125125,125182,0,4,1,0,0,0,0,0,0,0,125182,125282,0,1,125282,125301,
71,0,5,71,125304,126960,126960,127137,0,8,0,1,0,0,0,0,0,0,127137,127237,0,1,127237,127239,
72,0,7,72,127242,128620,128620,128744,0,4,0,1,0,0,0,0,0,0,128744,128844,0,1,128844,128886,
73,0,0,73,128889,130446,130446,130488,0,0,1,0,0,0,0,0,0,0,130488,130588,0,1,130588,130592,
74,0,10,74,130595,132178,132178,132229,0,0,1,0,0,0,0,0,0,0,132229,132329,0,1,132329,132342,
75,1,9,75,132345,133988,133988,134008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,0,3,76,134511,134511,134511,134565,0,0,0,1,0,0,0,0,0,0,134565,134665,0,1,134665,134704,
77,0,6,77,134707,136207,136207,136307,0,0,1,0,0,0,0,0,0,0,136307,136407,0,1,136407,136440,
78,0,3,78,136443,137860,137860,138027,0,6,0,1,0,0,0,0,0,0,138027,138127,0,1,138127,138159,
79,0,10,79,138162,139587,139587,139623,0,0,1,0,0,0,0,0,0,0,139623,139723,0,1,139723,139736,
80,0,1,80,139739,141127,141127,141214,0,12,0,1,0,0,0,0,0,0,141214,141314,0,1,141314,141318,
81,0,2,81,141321,142766,142766,142881,0,0,1,0,0,0,0,0,0,0,142881,142981,0,1,142981,143017,
82,0,12,82,143020,144470,144470,144519,0,0,1,0,0,0,0,0,0,0,144519,144619,0,1,144619,144638,
83,0,12,83,144641,146189,146189,146231,0,0,1,0,0,0,0,0,0,0,146231,146331,0,1,146331,146400,
84,0,2,84,146403,148008,148008,148076,0,4,1,0,0,0,0,0,0,0,148076,148176,0,1,148176,148219,
85,0,7,85,148222,149681,149681,149779,0,4,0,1,0,0,0,0,0,0,149779,149879,0,1,149879,149913,
86,0,3,86,149916,151198,151198,151301,0,4,0,1,0,0,0,0,0,0,151301,151401,0,1,151401,151416,
87,0,12,87,151419,152918,152918,153054,0,0,1,0,0,0,0,0,0,0,153054,153154,0,1,153154,153186,
88,0,7,88,153189,154518,154518,154650,0,4,0,1,0,0,0,0,0,0,154650,154750,0,1,154750,154760,
89,0,6,89,154763,156360,156360,156420,0,0,1,0,0,0,0,0,0,0,156420,156520,0,1,156520,156556,
90,0,1,90,156559,158118,158118,158338,0,2,0,1,0,0,0,0,0,0,158338,158438,0,1,158438,158452,
91,0,2,91,158455,159764,159764,159832,0,0,1,0,0,0,0,0,0,0,159832,159932,0,1,159932,159977,
92,0,6,92,159980,161248,161248,161292,0,0,1,0,0,0,0,0,0,0,161292,161392,0,1,161392,161406,
93,1,5,93,161409,162712,162712,162809,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,1,11,94,163312,163371,163371,163536,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,0,10,95,164039,164255,164255,164316,0,4,1,0,0,0,0,0,0,0,164316,164416,0,1,164416,164483,
96,0,5,96,164486,165797,165797,166437,0,4,0,1,0,0,0,0,0,0,166437,166537,0,1,166537,166618,
97,0,8,97,166621,168126,168126,168161,0,0,1,0,0,0,0,0,0,0,168161,168261,0,1,168261,168291,
98,1,13,98,168294,169796,169796,169843,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,0,10,99,170346,170576,170576,170686,0,8,1,0,0,0,0,0,0,0,170686,170786,0,1,170786,170845,
100,0,12,100,170848,172516,172516,172584,0,4,1,0,0,0,0,0,0,0,172584,172684,0,1,172684,172737,
101,0,11,101,172740,174170,174170,174271,0,6,0,1,0,0,0,0,0,0,174271,174371,0,1,174371,174408,
102,1,3,102,174411,175766,175766,175826,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,0,13,103,176329,176373,176373,176456,0,8,0,1,0,0,0,0,0,0,176456,176556,0,1,176556,176575,
104,0,9,104,176578,178016,178016,178097,0,4,0,1,0,0,0,0,0,0,178097,178197,0,1,178197,178260,
105,0,0,105,178263,179826,179826,179868,0,0,1,0,0,0,0,0,0,0,179868,179968,0,1,179968,180001,
106,0,8,106,180004,181471,181471,181612,0,0,1,0,0,0,0,0,0,0,181612,181712,0,1,181712,181731,
107,0,8,107,181734,183062,183062,183121,0,2,1,0,0,0,0,0,0,0,183121,183221,0,1,183221,183331,
108,0,6,108,183334,184573,184573,184638,0,4,1,0,0,0,0,0,0,0,184638,184738,0,1,184738,184792,
109,0,13,109,184795,186211,186211,186315,0,4,0,1,0,0,0,0,0,0,186315,186415,0,1,186415,186441,
110,0,8,110,186444,187681,187681,187708,0,0,1,0,0,0,0,0,0,0,187708,187808,0,1,187808,187878,
111,0,13,111,187881,189273,189273,189405,0,4,0,1,0,0,0,0,0,0,189405,189505,0,1,189505,189604,
112,0,1,112,189607,190966,190966,191041,0,4,0,1,0,0,0,0,0,0,191041,191141,0,1,191141,191192,
113,0,13,113,191195,192452,192452,192538,0,6,0,1,0,0,0,0,0,0,192538,192638,0,1,192638,192700,
114,0,5,114,192703,193812,193812,193893,0,0,0,1,0,0,0,0,0,0,193893,193993,0,1,193993,194023,
115,0,9,115,194026,195239,195239,195298,0,2,0,1,0,0,0,0,0,0,195298,195398,0,1,195398,195422,
116,0,12,116,195425,199355,199355,199836,0,4,1,0,0,0,0,0,0,0,199836,199936,0,1,199936,199976,
117,0,12,117,199979,201085,201085,201178,0,6,1,0,0,0,0,0,0,0,201178,201278,0,1,201278,201332,
118,0,9,118,201335,202295,202295,202369,0,4,0,1,0,0,0,0,0,0,202369,202469,0,1,202469,202544,
119,0,7,119,202547,203395,203395,203483,0,2,0,1,0,0,0,0,0,0,203483,203583,0,1,203583,203627,
120,0,13,120,203630,204692,204692,204719,0,4,0,1,0,0,0,0,0,0,204719,204819,0,1,204819,204850,
121,0,1,121,204853,205716,205716,205817,0,2,0,1,0,0,0,0,0,0,205817,205917,0,1,205917,205941,
122,0,6,122,205944,206808,206808,206889,0,2,1,0,0,0,0,0,0,0,206889,206989,0,1,206989,207040,
123,0,13,123,207043,207788,207788,207843,0,2,0,1,0,0,0,0,0,0,207843,207943,0,1,207943,208082,
124,1,5,124,208085,208756,208756,208789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,0,6,125,209292,209340,209340,209432,0,2,1,0,0,0,0,0,0,0,209432,209532,0,1,209532,209638,
126,0,4,126,209641,210834,210834,210877,0,0,1,0,0,0,0,0,0,0,210877,210977,0,1,210977,211010,
127,0,5,127,211013,211982,211982,212021,0,0,0,1,0,0,0,0,0,0,212021,212121,0,1,212121,212201,
128,0,5,128,212204,213170,213170,213248,0,4,0,1,0,0,0,0,0,0,213248,213348,0,1,213348,213393,
129,0,6,129,213396,214323,214323,214363,0,0,1,0,0,0,0,0,0,0,214363,214463,0,1,214463,214476,
130,0,5,130,214479,215656,215656,215677,0,0,0,1,0,0,0,0,0,0,215677,215777,0,1,215777,215782,
131,128,2,131,215785,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENDDATA
