STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,25-Feb-2020
Time,8:42
Box Index,1
ExptType,0
SessionRecord,120

Session Title,SCB
Protocol Title,grating orientation discrimination with punishment and distractors (bug fixed)
Protocol Description,nose-touch one of the two locations according to stimulus orientation (2AFC) + ignore distractor + punishment for wrong selection
Analysis Ref,CS-101
Dose Details,Index,0
Dose Table Item
n.a.
0
Unassigned
300
Subject Id,SCB_2
DB Ref,SCB_nbk_shaping07
DB Group,-1
Day Table,Image Discrimination Day Table
Duration,240000
Pellet Count,0
Fluid Count,164
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,1
SS Dummy,2
SensorTC
S(1),
356,
AutoControl,Index,3,
AC Comment,,T2_retrain - 1T1D (110x110)  VT/HZ = 1:1 (Tc-6, Dc-1-3)
01_cross,02_responsebox,03_mask_060,hz6_060,hz6_080,hz6_100,hz6_120,vt6_060,vt6_080,vt6_100,vt6_120,hz1_120,vt1_120,hz2_120,vt2_120,hz3_120,vt3_120,hz4_120,vt4_120,hz5_120,vt5_120,hz7_120,vt7_120,hz8_120,vt8_120,hz6_110,hz1_110,vt6_110,vt1_110,hz2_110,vt2_110,hz3_110,vt3_110,hz4_110,vt4_110,hz5_110,vt5_110,hz6_110,vt6_110,hz7_110,vt7_110,hz8_110,vt8_110,
Image Discrim Details
Trials,Banked,RptInc,RptMssd,CTLimited,CTLimit,All_Trials,C_Trials,I_Trials,M_Trials,Ex_Crcn_Trials
84,0,0,0,0,1000,1,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,
T2Freq,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,
T2Ampl,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
T2Burst,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
T2Period,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
T2Delay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
T2ToneCount,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,


Trials

,,,,Stage (4),Stage (4),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (5),Stage (9),Stage (9),Stage (10),Stage (12),Stage (12),
Trial,,Item,TT,,,,,Target,Dummy,Count :-,Count :-,Count :-,Count :-,Count :-,Count :-,Count :-,,,Reward,,,
Ref,Outcome,Index,Index,Entry,Exit,Entry,Exit,Report,Report,W(1),W(2),W(3),W(4),W(5),W(6),W(7),Entry,Exit,Count :-,Entry,Exit,
0,1,13,0,1003,1152,1152,1180,0,1180,0,0,0,1,0,0,0,0,0,0,0,0,
1,0,11,1,1483,1848,1848,1932,1932,0,0,1,1,0,0,0,0,1932,2032,0,2032,2082,
2,0,5,2,2085,3265,3265,3326,3326,0,0,0,1,0,0,0,0,3326,3426,0,3426,3470,
3,1,7,3,3473,4217,4217,4241,0,4241,0,0,0,1,0,0,0,0,0,0,0,0,
4,0,1,4,4544,4571,4571,4594,4594,0,0,0,0,1,0,0,0,4594,4694,0,4694,4724,
5,0,5,5,4727,5590,5590,5641,5641,0,0,0,1,0,0,0,0,5641,5741,0,5741,5809,
6,0,12,6,5812,6661,6661,6691,6691,0,0,0,0,1,0,0,0,6691,6791,0,6791,6821,
7,0,6,7,6824,7652,7652,7689,7689,0,0,0,0,1,0,0,0,7689,7789,0,7789,7822,
8,0,6,8,7825,8664,8664,8702,8702,0,0,0,0,1,0,0,0,8702,8802,0,8802,8818,
9,0,5,9,8821,9637,9637,9688,9688,0,0,0,1,0,0,0,0,9688,9788,0,9788,9857,
10,0,9,10,9860,10757,10757,10797,10797,0,0,0,1,0,0,0,0,10797,10897,0,10897,10959,
11,0,10,11,10962,11829,11829,11882,11882,0,0,0,0,1,0,0,0,11882,11982,0,11982,12008,
12,0,5,12,12011,12881,12881,12925,12925,0,0,0,1,0,0,0,0,12925,13025,0,13025,13109,
13,0,3,13,13112,13911,13911,13965,13965,0,0,0,1,0,0,0,0,13965,14065,0,14065,14157,
14,0,1,14,14160,14920,14920,14958,14958,0,0,0,0,1,0,0,0,14958,15058,0,15058,15113,
15,0,10,15,15116,15950,15950,15993,15993,0,0,0,0,1,0,0,0,15993,16093,0,16093,16125,
16,0,10,16,16128,17032,17032,17065,17065,0,0,0,0,1,0,0,0,17065,17165,0,17165,17202,
17,0,11,17,17205,18025,18025,18074,18074,0,0,0,1,0,0,0,0,18074,18174,0,18174,18237,
18,0,9,18,18240,19218,19218,19261,19261,0,0,0,1,0,0,0,0,19261,19361,0,19361,19458,
19,0,0,19,19461,20374,20374,20414,20414,0,0,0,1,0,0,0,0,20414,20514,0,20514,20591,
20,0,0,20,20594,21530,21530,21574,21574,0,0,0,1,0,0,0,0,21574,21674,0,21674,21738,
21,0,2,21,21741,22663,22663,22703,22703,0,0,0,0,1,0,0,0,22703,22803,0,22803,23403,
22,0,2,22,23406,24224,24224,24259,24259,0,0,0,0,1,0,0,0,24259,24359,0,24359,24438,
23,0,0,23,24441,25212,25212,25270,25270,0,0,0,1,0,0,0,0,25270,25370,0,25370,25451,
24,0,2,24,25454,26235,26235,26269,26269,0,0,0,0,1,0,0,0,26269,26369,0,26369,26396,
25,0,13,25,26399,27275,27275,27337,27337,0,0,0,1,0,0,0,0,27337,27437,0,27437,27523,
26,0,3,26,27526,28453,28453,28498,28498,0,0,0,1,0,0,0,0,28498,28598,0,28598,28664,
27,0,10,27,28667,29694,29694,29736,29736,0,0,0,0,1,0,0,0,29736,29836,0,29836,29862,
28,0,9,28,29865,30859,30859,30911,30911,0,0,0,1,0,0,0,0,30911,31011,0,31011,31084,
29,0,1,29,31087,32070,32070,32106,32106,0,0,0,0,1,0,0,0,32106,32206,0,32206,32247,
30,0,1,30,32250,33290,33290,33327,33327,0,0,0,0,1,0,0,0,33327,33427,0,33427,33463,
31,0,3,31,33466,34480,34480,34538,34538,0,0,0,1,0,0,0,0,34538,34638,0,34638,34704,
32,0,8,32,34707,35654,35654,35692,35692,0,0,0,0,1,0,0,0,35692,35792,0,35792,35848,
33,0,7,33,35851,36845,36845,36894,36894,0,0,0,1,0,0,0,0,36894,36994,0,36994,37081,
34,0,6,34,37084,38092,38092,38122,38122,0,0,0,0,1,0,0,0,38122,38222,0,38222,38254,
35,0,2,35,38257,39244,39244,39275,39275,0,0,0,0,1,0,0,0,39275,39375,0,39375,39409,
36,0,11,36,39412,40463,40463,40558,40558,0,0,0,1,0,0,0,0,40558,40658,0,40658,40726,
37,0,12,37,40729,41626,41626,41657,41657,0,0,0,0,1,0,0,0,41657,41757,0,41757,41804,
38,0,9,38,41807,42608,42608,42663,42663,0,0,0,1,0,0,0,0,42663,42763,0,42763,42838,
39,0,11,39,42841,43668,43668,43718,43718,0,0,0,1,0,0,0,0,43718,43818,0,43818,43883,
40,0,13,40,43886,44775,44775,44822,44822,0,0,0,1,0,0,0,0,44822,44922,0,44922,45007,
41,0,8,41,45010,45908,45908,45940,45940,0,0,0,0,1,0,0,0,45940,46040,0,46040,46074,
42,0,4,42,46077,47101,47101,47126,47126,0,0,0,0,1,0,0,0,47126,47226,0,47226,47261,
43,0,0,43,47264,48290,48290,48344,48344,0,0,0,1,0,0,0,0,48344,48444,0,48444,48536,
44,0,12,44,48539,49346,49346,49370,49370,0,0,0,0,1,0,0,0,49370,49470,0,49470,49507,
45,0,0,45,49510,50408,50408,50458,50458,0,0,0,1,0,0,0,0,50458,50558,0,50558,50640,
46,0,4,46,50643,51622,51622,51649,51649,0,0,0,0,1,0,0,0,51649,51749,0,51749,51881,
47,0,8,47,51884,52832,52832,52870,52870,0,0,0,0,1,0,0,0,52870,52970,0,52970,53066,
48,0,11,48,53069,54054,54054,54104,54104,0,0,0,1,0,0,0,0,54104,54204,0,54204,54276,
49,0,7,49,54279,55226,55226,55281,55281,0,0,0,1,0,0,0,0,55281,55381,0,55381,55467,
50,0,9,50,55470,56429,56429,56491,56491,0,0,0,1,0,0,0,0,56491,56591,0,56591,56673,
51,0,4,51,56676,57692,57692,57723,57723,0,0,0,0,1,0,0,0,57723,57823,0,57823,57847,
52,0,8,52,57850,58946,58946,58976,58976,0,0,0,0,1,0,0,0,58976,59076,0,59076,59214,
53,0,3,53,59217,60175,60175,60226,60226,0,0,0,1,0,0,0,0,60226,60326,0,60326,60438,
54,0,5,54,60441,61390,61390,61470,61470,0,0,1,1,0,0,0,0,61470,61570,0,61570,61636,
55,0,6,55,61639,62575,62575,62623,62623,0,0,0,0,1,0,0,0,62623,62723,0,62723,62779,
56,0,4,56,62782,63618,63618,63644,63644,0,0,0,0,1,0,0,0,63644,63744,0,63744,63778,
57,0,3,57,63781,64730,64730,64784,64784,0,0,0,1,0,0,0,0,64784,64884,0,64884,64955,
58,0,4,58,64958,65907,65907,65953,65953,0,0,0,0,1,0,0,0,65953,66053,0,66053,66087,
59,0,7,59,66090,66973,66973,67026,67026,0,0,0,1,0,0,0,0,67026,67126,0,67126,67203,
60,1,0,60,67206,68176,68176,68208,0,68208,0,0,0,1,0,0,0,0,0,0,0,0,
61,1,5,61,68511,68688,68688,68721,0,68721,0,0,0,1,0,0,0,0,0,0,0,0,
62,0,9,62,69024,69094,69094,69249,69249,0,0,1,1,0,0,0,0,69249,69349,0,69349,69427,
63,0,7,63,69430,70411,70411,70452,70452,0,0,0,1,0,0,0,0,70452,70552,0,70552,70953,
64,0,13,64,70956,71769,71769,71821,71821,0,0,0,1,0,0,0,0,71821,71921,0,71921,71993,
65,0,2,65,71996,72981,72981,73012,73012,0,0,0,0,1,0,0,0,73012,73112,0,73112,73134,
66,0,6,66,73137,73959,73959,73990,73990,0,0,0,0,1,0,0,0,73990,74090,0,74090,74125,
67,0,12,67,74128,75150,75150,75186,75186,0,0,0,0,1,0,0,0,75186,75286,0,75286,75457,
68,1,13,68,75460,76302,76302,76333,0,76333,0,0,0,1,0,0,0,0,0,0,0,0,
69,1,8,69,76636,76679,76679,76763,0,76763,0,1,1,0,0,0,0,0,0,0,0,0,
70,0,6,70,77066,77084,77084,77120,77120,0,0,0,0,1,0,0,0,77120,77220,0,77220,77272,
71,0,10,71,77275,78320,78320,78352,78352,0,0,0,0,1,0,0,0,78352,78452,0,78452,78479,
72,0,8,72,78482,79443,79443,79477,79477,0,0,0,0,1,0,0,0,79477,79577,0,79577,79614,
73,0,1,73,79617,80670,80670,80697,80697,0,0,0,0,1,0,0,0,80697,80797,0,80797,80829,
74,0,10,74,80832,81760,81760,81790,81790,0,0,0,0,1,0,0,0,81790,81890,0,81890,82046,
75,0,4,75,82049,82988,82988,83039,83039,0,0,0,0,1,0,0,0,83039,83139,0,83139,83173,
76,0,12,76,83176,84146,84146,84182,84182,0,0,0,0,1,0,0,0,84182,84282,0,84282,84328,
77,1,13,77,84331,85339,85339,85372,0,85372,0,0,0,1,0,0,0,0,0,0,0,0,
78,0,7,78,85675,85740,85740,85770,85770,0,0,0,1,0,0,0,0,85770,85870,0,85870,85934,
79,0,1,79,85937,86892,86892,86933,86933,0,0,0,0,1,0,0,0,86933,87033,0,87033,87070,
80,1,3,80,87073,88139,88139,88164,0,88164,0,0,0,1,0,0,0,0,0,0,0,0,
81,1,2,81,88467,88510,88510,88587,0,88587,0,0,1,0,0,0,0,0,0,0,0,0,
82,0,11,82,88890,89466,89466,89512,89512,0,0,0,1,0,0,0,0,89512,89612,0,89612,89672,
83,0,12,83,89675,90604,90604,90638,90638,0,0,0,0,1,0,0,0,90638,90738,0,90738,90769,
84,0,13,84,90772,91684,91684,91740,91740,0,0,0,1,0,0,0,0,91740,91840,0,91840,91899,
85,0,11,85,91902,92819,92819,92877,92877,0,0,0,1,0,0,0,0,92877,92977,0,92977,93047,
86,0,5,86,93050,94107,94107,94163,94163,0,0,0,1,0,0,0,0,94163,94263,0,94263,94325,
87,0,7,87,94328,95243,95243,95302,95302,0,0,0,1,0,0,0,0,95302,95402,0,95402,95472,
88,0,1,88,95475,96406,96406,96436,96436,0,0,0,0,1,0,0,0,96436,96536,0,96536,96575,
89,0,5,89,96578,97539,97539,97593,97593,0,0,0,1,0,0,0,0,97593,97693,0,97693,97762,
90,0,12,90,97765,98812,98812,98846,98846,0,0,0,0,1,0,0,0,98846,98946,0,98946,98982,
91,0,6,91,98985,99924,99924,99964,99964,0,0,0,0,1,0,0,0,99964,100064,0,100064,100087,
92,0,6,92,100090,100961,100961,100988,100988,0,0,0,0,1,0,0,0,100988,101088,0,101088,101118,
93,0,5,93,101121,102056,102056,102112,102112,0,0,0,1,0,0,0,0,102112,102212,0,102212,102288,
94,0,9,94,102291,103332,103332,103387,103387,0,0,0,1,0,0,0,0,103387,103487,0,103487,103554,
95,0,10,95,103557,104449,104449,104476,104476,0,0,0,0,1,0,0,0,104476,104576,0,104576,104609,
96,0,5,96,104612,105595,105595,105722,105722,0,0,1,1,0,0,0,0,105722,105822,0,105822,105892,
97,0,3,97,105895,106809,106809,106888,106888,0,0,1,1,0,0,0,0,106888,106988,0,106988,107059,
98,0,1,98,107062,107924,107924,107961,107961,0,0,0,0,1,0,0,0,107961,108061,0,108061,108100,
99,0,10,99,108103,109034,109034,109064,109064,0,0,0,0,1,0,0,0,109064,109164,0,109164,109204,
100,0,10,100,109207,110047,110047,110077,110077,0,0,0,0,1,0,0,0,110077,110177,0,110177,110214,
101,0,11,101,110217,111140,111140,111196,111196,0,0,0,1,0,0,0,0,111196,111296,0,111296,111367,
102,0,9,102,111370,112198,112198,112265,112265,0,0,0,1,0,0,0,0,112265,112365,0,112365,112428,
103,1,0,103,112431,113397,113397,113495,0,113495,0,0,0,1,0,0,0,0,0,0,0,0,
104,1,0,104,113798,113873,113873,113905,0,113905,0,0,0,1,0,0,0,0,0,0,0,0,
105,0,2,105,114208,114333,114333,114380,114380,0,0,0,0,1,0,0,0,114380,114480,0,114480,114547,
106,0,2,106,114550,115553,115553,115583,115583,0,0,0,0,1,0,0,0,115583,115683,0,115683,115703,
107,0,0,107,115706,116933,116933,117009,117009,0,0,0,1,0,0,0,0,117009,117109,0,117109,117190,
108,0,2,108,117193,124993,124993,125033,125033,0,0,0,0,1,0,0,0,125033,125133,0,125133,125205,
109,0,13,109,125208,126316,126316,126377,126377,0,0,0,1,0,0,0,0,126377,126477,0,126477,126559,
110,0,3,110,126562,127399,127399,127447,127447,0,0,0,1,0,0,0,0,127447,127547,0,127547,127638,
111,0,10,111,127641,128533,128533,128563,128563,0,0,0,0,1,0,0,0,128563,128663,0,128663,128701,
112,0,9,112,128704,129544,129544,129601,129601,0,0,0,1,0,0,0,0,129601,129701,0,129701,129785,
113,0,1,113,129788,130791,130791,130825,130825,0,0,0,0,1,0,0,0,130825,130925,0,130925,130957,
114,0,1,114,130960,131860,131860,131898,131898,0,0,0,0,1,0,0,0,131898,131998,0,131998,132036,
115,1,3,115,132039,132835,132835,132870,0,132870,0,0,0,1,0,0,0,0,0,0,0,0,
116,0,8,116,133173,133240,133240,133277,133277,0,0,0,0,1,0,0,0,133277,133377,0,133377,133418,
117,0,7,117,133421,134294,134294,134356,134356,0,0,0,1,0,0,0,0,134356,134456,0,134456,134630,
118,0,6,118,134633,135235,135235,135269,135269,0,0,0,0,1,0,0,0,135269,135369,0,135369,135398,
119,0,2,119,135401,136252,136252,136287,136287,0,0,0,0,1,0,0,0,136287,136387,0,136387,136490,
120,0,11,120,136493,137314,137314,137381,137381,0,0,0,1,0,0,0,0,137381,137481,0,137481,137565,
121,0,12,121,137568,138466,138466,138503,138503,0,0,0,0,1,0,0,0,138503,138603,0,138603,138728,
122,0,9,122,138731,139602,139602,139666,139666,0,0,0,1,0,0,0,0,139666,139766,0,139766,139836,
123,0,11,123,139839,140800,140800,140857,140857,0,0,0,1,0,0,0,0,140857,140957,0,140957,141045,
124,0,13,124,141048,141888,141888,141946,141946,0,0,0,1,0,0,0,0,141946,142046,0,142046,142113,
125,0,8,125,142116,142979,142979,143029,143029,0,0,0,0,1,0,0,0,143029,143129,0,143129,143165,
126,0,4,126,143168,144088,144088,144124,144124,0,0,0,0,1,0,0,0,144124,144224,0,144224,144361,
127,0,0,127,144364,145228,145228,145288,145288,0,0,0,1,0,0,0,0,145288,145388,0,145388,145445,
128,0,12,128,145448,146216,146216,146255,146255,0,0,0,0,1,0,0,0,146255,146355,0,146355,146478,
129,0,0,129,146481,147166,147166,147222,147222,0,0,0,1,0,0,0,0,147222,147322,0,147322,147411,
130,0,4,130,147414,148208,148208,148238,148238,0,0,0,0,1,0,0,0,148238,148338,0,148338,148372,
131,0,8,131,148375,149042,149042,149077,149077,0,0,0,0,1,0,0,0,149077,149177,0,149177,149217,
132,0,11,132,149220,149816,149816,149875,149875,0,0,0,1,0,0,0,0,149875,149975,0,149975,150048,
133,0,7,133,150051,150698,150698,150767,150767,0,0,0,1,0,0,0,0,150767,150867,0,150867,150929,
134,0,9,134,150932,151533,151533,151592,151592,0,0,0,1,0,0,0,0,151592,151692,0,151692,151891,
135,0,4,135,151894,152432,152432,152464,152464,0,0,0,0,1,0,0,0,152464,152564,0,152564,152594,
136,0,8,136,152597,153316,153316,153350,153350,0,0,0,0,1,0,0,0,153350,153450,0,153450,153578,
137,0,3,137,153581,154226,154226,154289,154289,0,0,0,1,0,0,0,0,154289,154389,0,154389,154543,
138,0,5,138,154546,155219,155219,155271,155271,0,0,0,1,0,0,0,0,155271,155371,0,155371,155448,
139,0,6,139,155451,156061,156061,156103,156103,0,0,0,0,1,0,0,0,156103,156203,0,156203,156237,
140,0,4,140,156240,157027,157027,157059,157059,0,0,0,0,1,0,0,0,157059,157159,0,157159,157184,
141,0,3,141,157187,157929,157929,157993,157993,0,0,0,1,0,0,0,0,157993,158093,0,158093,158192,
142,0,4,142,158195,158890,158890,158933,158933,0,0,0,0,1,0,0,0,158933,159033,0,159033,159056,
143,0,7,143,159059,159869,159869,159926,159926,0,0,0,1,0,0,0,0,159926,160026,0,160026,160174,
144,0,0,144,160177,160952,160952,161012,161012,0,0,0,1,0,0,0,0,161012,161112,0,161112,161265,
145,0,5,145,161268,162075,162075,162148,162148,0,0,0,1,0,0,0,0,162148,162248,0,162248,162319,
146,0,9,146,162322,162967,162967,163021,163021,0,0,0,1,0,0,0,0,163021,163121,0,163121,163196,
147,0,7,147,163199,163763,163763,163839,163839,0,0,0,1,0,0,0,0,163839,163939,0,163939,164017,
148,1,13,148,164020,164755,164755,164906,0,164906,0,1,0,1,0,0,0,0,0,0,0,0,
149,0,2,149,165209,165508,165508,165544,165544,0,0,0,0,1,0,0,0,165544,165644,0,165644,165841,
150,0,6,150,165844,166382,166382,166417,166417,0,0,0,0,1,0,0,0,166417,166517,0,166517,166581,
151,0,12,151,166584,167169,167169,167214,167214,0,0,0,0,1,0,0,0,167214,167314,0,167314,167366,
152,0,13,152,167369,167917,167917,167984,167984,0,0,0,1,0,0,0,0,167984,168084,0,168084,168164,
153,0,8,153,168167,168741,168741,168786,168786,0,0,0,0,1,0,0,0,168786,168886,0,168886,168915,
154,0,6,154,168918,169760,169760,169812,169812,0,0,0,0,1,0,0,0,169812,169912,0,169912,169948,
155,0,10,155,169951,170537,170537,170574,170574,0,0,0,0,1,0,0,0,170574,170674,0,170674,170700,
156,0,8,156,170703,171482,171482,171515,171515,0,0,0,0,1,0,0,0,171515,171615,0,171615,171645,
157,0,1,157,171648,172184,172184,172218,172218,0,0,0,0,1,0,0,0,172218,172318,0,172318,172349,
158,0,10,158,172352,172841,172841,172896,172896,0,0,0,0,1,0,0,0,172896,172996,0,172996,173064,
159,0,4,159,173067,173526,173526,173566,173566,0,0,0,0,1,0,0,0,173566,173666,0,173666,173749,
160,0,12,160,173752,174482,174482,174543,174543,0,0,0,0,1,0,0,0,174543,174643,0,174643,174737,
161,0,13,161,174740,175966,175966,176228,176228,0,0,0,1,0,0,0,0,176228,176328,0,176328,176574,
162,1,7,162,176577,177317,177317,177357,0,177357,0,0,0,1,0,0,0,0,0,0,0,0,
163,0,1,163,177660,180023,180023,180050,180050,0,0,0,0,1,0,0,0,180050,180150,0,180150,180204,
164,1,3,164,180207,183307,183307,183347,0,183347,0,0,0,1,0,0,0,0,0,0,0,0,
165,0,2,165,183650,183818,183818,183875,183875,0,0,0,0,1,0,0,0,183875,183975,0,183975,184039,
166,0,11,166,184042,185693,185693,185804,185804,0,0,0,1,0,0,0,0,185804,185904,0,185904,186049,
167,0,12,167,186052,187357,187357,187384,187384,0,0,0,0,1,0,0,0,187384,187484,0,187484,188484,
168,1,13,168,188487,190340,190340,190369,0,190369,0,0,0,1,0,0,0,0,0,0,0,0,
169,1,11,169,190672,192306,192306,192353,0,192353,0,0,0,1,0,0,0,0,0,0,0,0,
170,2,5,170,192656,193180,193180,193780,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
171,0,7,171,193783,194523,194523,194796,194796,0,0,0,1,0,0,0,0,194796,194896,0,194896,195643,
172,0,1,172,195646,196297,196297,196331,196331,0,0,0,0,1,0,0,0,196331,196431,0,196431,196548,
173,2,5,173,196551,199298,199298,199898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
174,2,12,174,199901,200878,200878,201478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,0,6,175,201481,202535,202535,202633,202633,0,0,0,0,1,0,0,0,202633,202733,0,202733,203136,
176,0,6,176,203139,205230,205230,205285,205285,0,0,0,0,1,0,0,0,205285,205385,0,205385,205655,
177,1,5,177,205658,210633,210633,210682,0,210682,0,0,0,1,0,0,0,0,0,0,0,0,
178,1,9,178,210985,212421,212421,212917,0,212917,0,2,0,1,0,0,0,0,0,0,0,0,
179,0,10,179,213220,213649,213649,213723,213723,0,0,0,0,1,0,0,0,213723,213823,0,213823,214243,
180,1,5,180,214246,215540,215540,215567,0,215567,0,0,0,1,0,0,0,0,0,0,0,0,
181,1,3,181,215870,217674,217674,217933,0,217933,0,0,0,1,0,0,0,0,0,0,0,0,
182,0,1,182,218236,219277,219277,219308,219308,0,0,0,0,1,0,0,0,219308,219408,0,219408,219518,
183,0,10,183,219521,225269,225269,225303,225303,0,0,0,0,1,0,0,0,225303,225403,0,225403,225449,
184,0,10,184,225452,226334,226334,226364,226364,0,0,0,0,1,0,0,0,226364,226464,0,226464,226493,
185,2,11,185,226496,227187,227187,227787,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
186,1,9,186,227790,229111,229111,229154,0,229154,0,0,0,1,0,0,0,0,0,0,0,0,
187,0,0,187,229457,230328,230328,230391,230391,0,0,0,1,0,0,0,0,230391,230491,0,230491,231491,
188,1,0,188,231494,233924,233924,233961,0,233961,0,0,0,1,0,0,0,0,0,0,0,0,
189,0,2,189,234264,235022,235022,235613,235613,0,0,1,0,1,0,0,0,235613,235713,0,235713,235828,
190,0,2,190,235831,236801,236801,236837,236837,0,0,0,0,1,0,0,0,236837,236937,0,236937,236991,
191,1,0,191,236994,237600,237600,237732,0,237732,0,0,0,1,0,0,0,0,0,0,0,0,
192,128,2,192,238035,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENDDATA
