scorer,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3
coords,x,y,x,y,x,y
labeled-data\camera-1-train_01\img004.png,566.0452236233332,128.96021954095977,580.1974507847231,216.05084822643562,443.0297106050985,272.6597568719949
labeled-data\camera-1-train_01\img014.png,564.593715413227,128.420801959539,583.023362514742,210.8121654721944,448.59534836251476,265.01700988841503
labeled-data\camera-1-train_01\img062.png,564.593715413227,130.58899573618783,586.2756531797153,212.98035924884323,446.427154585866,266.1011067767394
labeled-data\camera-1-train_01\img078.png,566.7619091898758,132.75718951283665,588.443846956364,210.8121654721944,447.51125147419043,272.60568810668593
labeled-data\camera-1-train_01\img080.png,565.6778123015514,130.58899573618783,588.443846956364,217.31674680214087,451.84763902748807,265.01700988841503
labeled-data\camera-1-train_01\img110.png,564.593715413227,137.0935770661343,586.2756531797153,215.14855302549205,450.76354213916363,269.3533974417127
labeled-data\camera-1-train_01\img115.png,563.5096185249025,131.67309262451226,588.443846956364,212.98035924884323,450.76354213916363,265.01700988841503
labeled-data\camera-1-train_01\img125.png,566.7619091898758,136.0094801778099,593.8643313979861,218.40084369046525,445.34305769754155,271.5215912183615
