scorer,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3
coords,x,y,x,y,x,y
labeled-data\camera-1-motion_01\img0019.png,,,,,,
labeled-data\camera-1-motion_01\img0047.png,413.63662342375034,214.96221536786715,436.4979134536878,310.7619069218906,293.8870089812211,389.1434727388188
labeled-data\camera-1-motion_01\img0326.png,437.58890282385295,159.06731288939233,551.2376608139815,205.6091852091593,519.8489562262317,314.9284667044259
labeled-data\camera-1-motion_01\img0997.png,619.4269156080587,239.16262804434018,623.7563921029208,353.89375515818426,431.0946880815599,411.25931871510636
labeled-data\camera-1-motion_01\img1261.png,584.7911036491624,143.91414515737517,455.98917792701667,299.7752989724088,224.36218545189735,359.3056007767618
labeled-data\camera-1-motion_01\img1844.png,592.3676875151709,236.99788979690913,500.3663119993526,385.28245974593415,281.7277490088194,393.9414127356582
labeled-data\camera-1-motion_01\img1913.png,598.8619022574641,203.44444696172832,518.7665871025163,349.5642786633223,336.92857431831044,370.12929201391694
labeled-data\camera-1-motion_01\img2078.png,595.6147948863176,253.2334266526418,539.3316004531109,374.45876850877903,350.9993729266121,385.28245974593415
